fileName,severity,lineNumber,issueFoundDetails
/home/michael/claude/rpg-public/apps/server/src/dev-server.ts,low,3,Hardcoded default port value '3000' should be a constant or config variable for better maintainability
/home/michael/claude/rpg-public/apps/server/src/dev-server.ts,low,4,Hardcoded default host value '0.0.0.0' should be a constant or config variable for better maintainability
/home/michael/claude/rpg-public/apps/server/src/dev-server.ts,medium,10,"No explicit error handling for the app.listen() promise rejection, could mask issues with server startup"
/home/michael/claude/rpg-public/apps/server/src/dev-server.ts,medium,13,Generic 'err' variable name in catch block makes debugging harder than using a more specific error type
/home/michael/claude/rpg-public/apps/server/src/dev-server.ts,high,18,"Using 'void main()' instead of 'main()' means the return value of main() is ignored, which could hide potential async errors"
/home/michael/claude/rpg-public/apps/server/src/ai/lm-studio-client.ts,medium,2,Hardcoded default port '1234' should be configurable via environment variable like other settings
/home/michael/claude/rpg-public/apps/server/src/ai/lm-studio-client.ts,medium,10,"Function name 'queryLmStudio' doesn't clearly indicate it returns a Promise, which could be confusing for callers"
/home/michael/claude/rpg-public/apps/server/src/ai/lm-studio-client.ts,low,35,Type assertion 'as { choices?: Array<{ message?: { content?: string } }> }' could be made safer with a validation function
/home/michael/claude/rpg-public/apps/server/src/ai/lm-studio-client.ts,low,37,Redundant null check with '?? null' after already checking for undefined in the chain
/home/michael/claude/rpg-public/apps/server/src/ai/ai-service-composite.ts,medium,14,"Catches all exceptions from queryLmStudio but doesn't log or handle them specifically, potentially hiding underlying issues that could be useful for debugging AI service problems"
/home/michael/claude/rpg-public/apps/server/src/ai/ai-service-composite.ts,medium,9,"The tryLmStudio method has a generic catch block that swallows all errors without logging, making it difficult to diagnose why AI service calls fail"
/home/michael/claude/rpg-public/apps/server/src/ai/ai-service-composite.ts,medium,13,"The check 'if (result.text)' assumes the result object will always have a text property, but this could fail if the API response structure changes or is malformed"
/home/michael/claude/rpg-public/apps/server/src/ai/ai-service-composite.ts,medium,21,"The generateDialogue method uses the same fallback pattern as other methods, but there's no explicit handling for what happens if the fallback also fails"
/home/michael/claude/rpg-public/apps/server/src/ai/ai-service-composite.ts,medium,27,"The generateRumor method has the same potential issue with fallback handling as generateDialogue, where errors in the fallback mechanism aren't explicitly checked or logged"
/home/michael/claude/rpg-public/apps/server/src/ai/fallback-ai.ts,medium,17,The condition Math.random() < 0.4 is hardcoded and should be a configurable value or derived from context.totalRuns for more dynamic behavior
/home/michael/claude/rpg-public/apps/server/src/ai/fallback-ai.ts,medium,23,"The return value from pool[Math.floor(Math.random() * pool.length)]! assumes pool is never empty, but there's no validation if pool ends up empty after filtering"
/home/michael/claude/rpg-public/apps/server/src/ai/fallback-ai.ts,low,20,The variable factionId is declared but only used with void factionId; which is a confusing pattern that should be removed
/home/michael/claude/rpg-public/apps/server/src/ai/fallback-ai.ts,low,21,The void factionId; line is a code smell that indicates dead code or unclear intent
/home/michael/claude/rpg-public/apps/server/src/ai/fallback-ai.ts,low,15,"The loop for (const [factionId, factionPool] of Object.entries(FACTION_RUMORS)) has a confusing naming convention since factionId is not used in the loop body"
